Human Symbol,T. castaneum Gene,Score
PRMT3,TC008078,409
PRMT3,TC009722,318
PRMT3,TC004581,194
PRMT3,TC034762,153
PRMT5,TC003689,535
PRMT5,TC004581,62
PRMT2,TC009722,206
PRMT2,TC008078,202
PRMT2,TC004581,192
PRMT2,TC034762,176
PRMT2,TC007650,69.3
PRMT9,TC007650,166
PRMT9,TC002133,100
PRMT9,TC008078,81.3
PRMT9,TC009722,76.3
PRMT9,TC004581,76.6
CARM1,TC004581,586
CARM1,TC009722,199
CARM1,TC008078,162
CARM1,TC034762,143
CARM1,TC007650,63.9
PRMT1,TC009722,530
PRMT1,TC008078,279
PRMT1,TC004581,203
PRMT1,TC034762,157
PRMT1,TC002133,59.3
PRMT6,TC009722,205
PRMT6,TC034762,203
PRMT6,TC008078,196
PRMT6,TC004581,192
PRMT6,TC007650,76.6
PRMT7,TC002133,511
PRMT7,TC007650,79.3
PRMT7,TC034762,70.5
PRMT7,TC004581,69.7
PRMT7,TC008078,60.5
PRMT8,TC009722,532
PRMT8,TC008078,280
PRMT8,TC004581,205
PRMT8,TC034762,173
