Human Symbol,T. castaneum Gene,Score
JMJD1C,TC031981,420
KDM1A,TC032014,554
KDM1A,TC032013,350
KDM1A,TC004849,117
KDM1A,TC004564,85.1
KDM1A,TC014317,84.3
KDM1B,TC032013,186
KDM1B,TC014317,135
KDM1B,TC034772,130
KDM1B,TC004564,120
KDM1B,TC009641,110
KDM2A,TC034732,476
KDM2A,TC010820,269
KDM2B,TC034732,459
KDM2B,TC010820,279
KDM3A,TC031981,702
KDM3B,TC031981,529
KDM4A,TC015663,514
KDM4A,TC010807,143
KDM4A,TC006094,119
KDM4A,TC013701,104
KDM4B,TC015663,524
KDM4B,TC010807,138
KDM4B,TC006094,124
KDM4B,TC006853,111
KDM4C,TC015663,532
KDM4C,TC010807,139
KDM4C,TC002791,86.7
KDM4C,TC006094,82
KDM4D,TC015663,454
KDM4D,TC010807,137
KDM4D,TC002791,89.4
KDM4E,TC015663,431
KDM4E,TC010807,135
KDM4E,TC002791,85.5
KDM4F,TC015663,432
KDM4F,TC010807,136
KDM4F,TC002791,84.3
KDM5A,TC010807,1419
KDM5A,TC002791,164
KDM5A,TC015663,147
KDM5A,TC009937,78.6
KDM5B,TC010807,1273
KDM5B,TC002791,153
KDM5B,TC015663,136
KDM5B,TC009937,74.7
KDM5C,TC010807,1286
KDM5C,TC002791,149
KDM5C,TC015663,139
KDM5C,TC032348,67.8
KDM5C,TC009937,68.9
KDM5D,TC010807,1286
KDM5D,TC002791,152
KDM5D,TC015663,137
KDM5D,TC032348,70.9
KDM5D,TC009937,68.9
KDM6A,TC031464,577
KDM6A,TC031465,409
KDM6B,TC031464,651
KDM7A,TC010820,508
KDM7A,TC034732,305
KDM7A,TC012345,75.9
KDM8,TC000138,303
KDM8,TC002888,91.3
KDM8,TC009187,66.2
PHF2,TC010820,93.6
PHF2,TC012345,80.1
PHF8,TC010820,523
PHF8,TC034732,299
PHF8,TC012345,79.7
UTY,TC031464,673
UTY,TC031465,400
